programId;code;description;active;manual;excluded
R3TR;CCEI;Client Export-/Import Helper Object - Never Change Manually;false;true;false
R3TR;CCFG;SCC: Check Configuration;false;true;false
R3TR;CCPR;Client Copy Profile;false;true;false
R3TR;CCRU;SCC: Check Configuration Rule;false;true;false
R3TR;CDAT;View Cluster Maintenance: Data;false;true;false
R3TR;CDBO;Customer Data Browser;false;true;false
R3TR;CDDH;Packages for Table Entries: Granularity;false;true;false
R3TR;CDDL;Default Original Language in Customizing;false;true;false
R3TR;CDDO;Default Originality Attributes in Customizing;false;true;false
R3TR;CDLH;Original Language for Table Entries: Granularity;false;true;false
R3TR;CDOH;Originality for Table Entries: Granularity;false;true;false
R3TR;CEBR;BPC: Consolidation business rule for environment;false;true;false
R3TR;CELM;Elements of the Query Builder (SAP Delivery);false;true;false
R3TR;CFAA;Business Configuration Framework Act. Ada. Cnt. (Obsolete);false;true;false
R3TR;CFAR;Business Configuration Framework Activity (Obsolete);false;true;false
R3TR;CFBA;Business Configuration Framework Building Block (Obsolete);false;true;false
R3TR;CFBB;Business Configuration Framework Building Block (Obsolete);false;true;false
R3TR;CFCE;Business Configuration Framework Conf. Entity (Obsolete);false;true;false
R3TR;CFCL;Business Configuration Framework Log. Cnt. Layer (Obsolete);false;true;false
R3TR;CFCS;Business Configuration Framework Change Set (Obsolete);false;true;false
R3TR;CFCX;Business Configuration Framework Context (Obsolete);false;true;false
R3TR;CFD1;Custom fields: IDoc Type Registry;false;true;false
R3TR;CFDA;Custom Logic Registration;false;true;false
R3TR;CFDB;Custom Fields: Business Context Registry;false;true;false
R3TR;CFDC;Custom Fields: CDS View Registry;false;true;false
R3TR;CFDD;Business Configuration Framework Dataset (Obsolete);false;true;false
R3TR;CFDE;Data Source Extension;false;true;false
R3TR;CFDF;Custom Field;false;true;false
R3TR;CFDG;Custom Fields: SAP GUI Registry;false;true;false
R3TR;CFDH;Custom Behavior Extension Registration;false;true;false
R3TR;CFDI;Business Configuration Framework Dimension (Obsolete);false;true;false
R3TR;CFDM;Custom fields: Function Module Registry;false;true;false
R3TR;CFDO;Custom Fields: OData Model Registry;false;true;false
R3TR;CFDP;Custom fields: SOAP Service Interface Registry;false;true;false
R3TR;CFDR;Custom Fields: Association Target;false;true;false
R3TR;CFDS;Custom Fields: Business Scenario Registry;false;true;false
R3TR;CFDT;Custom Fields: Data Transfer Registry;false;true;false
R3TR;CFDX;Custom Fields: Suffix Registry;false;true;false
R3TR;CFDY;Custom Fields: Abstract Entity Registry;false;true;false
R3TR;CFEX;Business Configuration Framework Expression (Obsolete);false;true;false
R3TR;CFIA;Business Configuration Framework Issue Ada. Cnt. (Obsolete);false;true;false
R3TR;CFIU;Business Configuration Framework Issue (Obsolete);false;true;false
R3TR;CFPK;Business Configuration Framework Solution Package (Obsolete);false;true;false
R3TR;CFQF;Business Configuration Framework Qualifier (Obsolete);false;true;false
R3TR;CFRA;Business Configuration Framework Record Ada. Cnt. (Obsolete);false;true;false
R3TR;CFRK;Business Configuration Framework Record Key (Obsolete);false;true;false
R3TR;CFRR;Business Configuration Framework Record (Obsolete);false;true;false
R3TR;CFSA;Business Configuration Framework Scope Item Cnt. (Obsolete);false;true;false
R3TR;CFSI;Business Configuration Framework Scope Item (Obsolete);false;true;false
R3TR;CFSO;Business Configuration Framework Scope Option (Obsolete);false;true;false
R3TR;CFSU;Business Configuration Framework SSC UI (Obsolete);false;true;false
R3TR;CFVA;Business Configuration Framework SVA Adap. Cnt. (Obsolete);false;true;false
R3TR;CFVR;Business Configuration Framework Scoping Val. Ar. (Obsolete);false;true;false
R3TR;CGRC;CDM Group (LREP cross-client content);false;true;false
R3TR;CGRD;CDM Group (LREP client-dependent content);false;true;false
R3TR;CGRT;CDM Group (LREP client-dependent content - customizing req.);false;true;false
R3TR;CHAR;Object characteristic;false;true;false
R3TR;CHDO;Change Document Object;false;true;false
R3TR;CHKC;Check category;false;true;false
R3TR;CHKE;Check Exemptions;false;true;false
R3TR;CHKO;Check;false;true;false
R3TR;CHKV;Check Variant;false;true;false
R3TR;CINS;Correction Instruction;false;true;false
R3TR;CLAS;Class (ABAP Objects);true;false;false
R3TR;CMBR;BPC: Consolidation business rule for model;false;true;false
R3TR;CMBT;BPC: Consolidation task sequence for model;false;true;false
R3TR;CMHC;Cloud Management Health Check;false;true;false
R3TR;CMOD;Customer enhancement projects;false;true;false
R3TR;CMPA;Client Multiplexer Scenario Task List Parameters;false;true;false
R3TR;CMPT;Code Composer Template;false;true;false
R3TR;CMSQ;Client Multiplexer Scenario Sequence;false;true;false
R3TR;CMTM;Cloud Management Tenant Multiplexer Trigger;false;true;false
R3TR;CNAR;Business Configuration Framework Activity Semantic Obj;false;true;false
R3TR;CNBB;Business Configuration Framework Building Block Semantic Obj;false;true;false
R3TR;CNCE;Business Configuration Framework Configuration Semantic Obj;false;true;false
R3TR;CNDD;Business Configuration Framework Dataset Semantic Key;false;true;false
R3TR;CNIU;Business Configuration Framework Issue Semantic Obj;false;true;false
R3TR;CNPA;DMC: Definition of a control parameter;false;true;false
R3TR;CNPC;DMC: Migration Settings of a Control Parameter;false;true;false
R3TR;CNPK;Business Configuration Framework Soln. Package Semantic Key;false;true;false
R3TR;CNRR;Business Configuration Framework Record Semantic Key;false;true;false
R3TR;CNSI;Business Configuration Framework Scope Item Semantic Key;false;true;false
R3TR;CNSO;Business Configuration Framework Scope Option Semantic Key;false;true;false
R3TR;CNSU;Business Configuration Framework SSCUI Semantic Key;false;true;false
R3TR;CNTL;SEM-SRM Contacts: Logical InfoObject (SRM:CNT);false;true;false
R3TR;CNTN;DMC: Definition of a Container (Sender/Recipient);false;true;false
R3TR;CNTP;SEM-SRM Contacts: Physical InfoObject (SRM_CNT);false;true;false
R3TR;CNTX;Context;false;true;false
R3TR;CNVN;Conversion Tools: Notification Events;false;true;false
R3TR;CNVR;Business Configuration Framework SVA Record Semantic Key;false;true;false
R3TR;COAC;ESF: Action;false;true;false
R3TR;COAS;ESF: Aspect;false;true;false
R3TR;COBB;Controlling CO: Calculation base for overhead - detail;false;true;false
R3TR;COBJ;DMC: Definition of a Conversion Object;false;true;false
R3TR;COBO;ESF: Business Object;false;true;false
R3TR;COC1;CO: Cost Centers;false;true;false
R3TR;COC2;CO: Activity Types;false;true;false
R3TR;COC3;CO: Statistical Key Figures;false;true;false
R3TR;COCF;ESF: Configuration;false;true;false
R3TR;COCO;Control Composite;false;true;false
R3TR;COE1;Controlling CO: Credit for surcharges - Overview;false;true;false
R3TR;COE2;Controlling CO: Credit for surcharges - detail;false;true;false
R3TR;COF1;CO: Cost Elements (Dependent on Chart of Accounts);false;true;false
R3TR;COF2;Cost elements (controlling area specific data);false;true;false
R3TR;COK1;Controlling CO: Overview of surcharge conditions;false;true;false
R3TR;COK2;Controlling CO: Additional data for surcharge conditions;false;true;false
R3TR;COKS;Controlling CO: costing sheet for overhead;false;true;false
R3TR;COPR;CompositeProvider;false;true;false
R3TR;CORL;ESF: Relation;false;true;false
R3TR;COSM;ESF: Service Modules;false;true;false
R3TR;COVG;Controlling CO: Transaction groups;false;true;false
R3TR;CPKM;Meta data of a transport-based correction instruction;false;true;false
R3TR;CRME;CRM Enterpise Search;false;true;false
R3TR;CRMF;Folder for CRM;false;true;false
R3TR;CRML;Logical Information Object for CRM Document Templates;false;true;false
R3TR;CRMP;Physical Information Object for CRM Document Templates;false;true;false
R3TR;CRWB;Crystal Reports Template;false;true;false
R3TR;CTAF;Condition Technique - Application Field;false;true;false
R3TR;CTAP;Condition Technique - Application;false;true;false
R3TR;CTAS;S/4HANA Condition Technique - Access Sequence;false;true;false
R3TR;CTCR;BPC: Control for BPC embeded model;false;true;false
R3TR;CTCS;BPC: Control set for BPC embeded model;false;true;false
R3TR;CTCT;Condition Technique - Condition Table;false;true;false
R3TR;CTDD;Condition Technique - Procedure Type for Info. Determination;false;true;false
R3TR;CTEM;Customizing templates;false;true;false
R3TR;CTFC;S/4HANA Condition Technique - Field Catalog;false;true;false
R3TR;CTFD;Condition Technique - Data Element in Global Field Catalog;false;true;false
R3TR;CTFF;Condition Technique - Field Name in Global Field Catalog;false;true;false
R3TR;CTFP;Condition Technique - Dependencies in Global Field Catalog;false;true;false
R3TR;CTFR;Condition Technique - Relationships in Global Field Catalog;false;true;false
R3TR;CTMC;Condition Technique - Maintenance Context for Cond. Maint.;false;true;false
R3TR;CTRF;Condition Technique: Reference Type for Condition Maint.;false;true;false
R3TR;CTRT;Currency Translation Type;false;true;false
R3TR;CTSB;Condition Technque - Scale Base Type of Scale;false;true;false
R3TR;CTTK;Condition Technique - Task (Signature Part);false;true;false
R3TR;CTTS;Condition Technique - Task (Definition Part);false;true;false
R3TR;CTUF;Condition Technique - Field of a Usage;false;true;false
R3TR;CTUS;Condition Technique - Usage;false;true;false
R3TR;CUAT;Customer enhancements: Menu enhancement texts;false;true;false
R3TR;CUBE;InfoCube;false;true;false
R3TR;CUCF;Configuration of a customer initiated Add-On Uninstallation;false;true;false
R3TR;CUS0;Customizing IMG Activity;false;true;false
R3TR;CUS1;Customizing Transactions;false;true;false
R3TR;CUS2;Customizing Attributes;false;true;false
R3TR;CUS3;Variants of IMG Attributes;false;true;false
R3TR;CWB1;CWB Project;false;true;false
R3TR;CWBN;Note Assistant Modification Data;false;true;false
R3TR;DAAG;Data Aging Object;false;true;false
R3TR;DAGP;Partitioning Object;false;true;false
R3TR;DAGR;Aggregate (SAP Delivery);false;true;false
R3TR;DAGW;Data Aging Object Relevant in Cloud and On-Premise;false;true;false
R3TR;DALV;Aggregation Level (SAP Delivery);false;true;false
R3TR;DANM;Analytical Model (shipped version);false;true;false
R3TR;DANP;Analysis Process (SAP Delivery);false;true;false
R3TR;DANS;Source for analytical model (shipment version);false;true;false
R3TR;DAOE;Analysis Office Excel Workbook (SAP Delivery Version);false;true;false
R3TR;DAOP;Analysis Office Powerpoint (SAP Delivery Version);false;true;false
R3TR;DAPA;BW Data Archiving Process (Active Version);false;true;false
R3TR;DAPC;Application Components (SAP Delivery);false;true;false
R3TR;DAPD;BW Data Archiving Process (Delivered Version);false;true;false
R3TR;DAQC;Data Analyzer Query(Cross-client content);false;true;false
R3TR;DAQR;Embedded Data Analyzer Query;false;true;false
R3TR;DARE;InfoArea (SAP Delivery);false;true;false
